***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,GCACFG,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,950,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1650,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,300,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,16,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,32.99,,,,,,System Temp (C):,22.64,,,,,,,
Humidity (%):,65.6,,,,,,Humidity (%):,32.0,,,,,,
Battery Capacity (%):,97,,,,,,Lamp Indicator:,845,,,,,,,
Lamp ADC:,3053,3075,848,837,,,Data Date-Time:,23/1/6T19:6:26
Data Date-Time:,24/10/4T11:51:48,,,,,,,,,,,,,,
Total Measurement Time in sec:,7.346,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-3.7796363779115723,0.038358433248661464,-9.420811808630703E-5,,,,,
Serial Number:,B50R085,95UB123GC0VB50R085,,,,,Pixel to Wavelength Coefficients:,1759.08742666362,-0.9236467962778762,-2.4101105395423096E-4,,,,,
APP Version:,2.18.18,,,,,,,,,,,,,
TIVA Version:,2.6.3,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,DE:67:0C:88:67:45:81:21,,,,,,Total Time(HH:MM:SS):,5hr 11min 55sec ,,,,,,,
Main Board Version:,F,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,C,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x0000000000000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1302.0450660372528,1.7041574,825805.0,16320
1304.3189491953076,1.7047243,829721.0,16376
1306.5909042649305,1.7033277,833168.0,16497
1308.8609312461222,1.7013632,836145.0,16631
1311.129030138882,1.7016108,839137.0,16681
1313.39520094321,1.7021617,842368.0,16724
1315.6594436591067,1.7045702,845837.0,16700
1317.9217582865717,1.7018145,848439.0,16858
1321.3116150619599,1.7041421,851632.0,16831
1323.5691094683457,1.7037572,853557.0,16884
1325.8246757862998,1.7040322,855514.0,16912
1328.0783140158223,1.7057654,857513.0,16884
1330.3300241569132,1.7058762,859510.0,16919
1332.5798062095728,1.7059606,860490.0,16935
1334.8276601738003,1.7079439,861519.0,16878
1337.0735860495965,1.7070484,862597.0,16934
1339.3175838369607,1.710794,863903.0,16814
1341.5596535358936,1.7132125,865059.0,16743
1343.7997951463947,1.7125003,866066.0,16790
1346.0380086684643,1.7130111,866259.0,16774
1348.2742941021022,1.7173171,866389.0,16611
1351.6251070867497,1.719708,866137.0,16515
1353.8565722993085,1.7221056,865500.0,16412
1356.0861094234356,1.7246011,865343.0,16315
1358.313718459131,1.7285342,865187.0,16165
1360.539399406395,1.7295823,864702.0,16117
1362.7631522652273,1.7305028,864010.0,16070
1364.984977035628,1.7348061,863111.0,15895
1367.204873717597,1.7360874,863265.0,15851
1369.4228423111342,1.7376709,863248.0,15793
1371.6388828162399,1.738569,863063.0,15757
1373.852995232914,1.737036,861714.0,15788
1376.0651795611566,1.7382709,859953.0,15711
1378.2754358009674,1.7393059,857780.0,15634
1380.4837639523466,1.7386684,855262.0,15611
1383.792641013606,1.7412491,851486.0,15450
1385.996148943906,1.7406923,848964.0,15424
1388.1977287857746,1.7456524,845521.0,15187
1390.3973805392116,1.7461221,842869.0,15123
1392.5951042042166,1.7494907,841007.0,14973
1394.7908997807901,1.7486492,840332.0,14990
1396.984767268932,1.7535039,840481.0,14826
1399.1767066686425,1.7557067,841450.0,14768
1401.366717979921,1.7571793,842650.0,14739
1403.5548012027682,1.7592853,843874.0,14689
1405.7409563371834,1.7623286,845122.0,14608
1407.9251833831672,1.7663015,846291.0,14495
1410.1074823407193,1.7696049,847458.0,14405
1413.3773156112384,1.7724911,848963.0,14335
1415.5547943477113,1.7739737,849608.0,14297
